,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,know_rating,prep_rating,audible_rating,expl_rating,attent_rating,note_rating,stimu_rating,rec_course_rating,rec_professor_rating
998731,CSB  ,5,99,WI19,COGS,108,960491,Keown,Christopher Lee,55,16,4.25,4.5882352939999995,4.647058824,4.705882353,4.5882352939999995,4.117647058999999,4.294117647,3.833333333,0.944444444,1.0
998752,,,99,WI19,COGS,11,960434,Boroditsky,Lera,175,75,4.693333333,4.566666667,4.6,4.566666667,4.4,3.655172414,3.24137931,4.033333333,0.966666667,0.9
999046,PCYNH,121,99,WI19,COGS,17,960453,Johnson,Christine M.,58,25,4.72,4.693333333,4.666666667,4.613333333,4.56,4.226666667,3.826666667,4.460526316,0.947368421,0.986666667
999067,PCYNH,121,99,WI19,COGS,17,960454,Johnson,Christine M.,62,31,4.677419355,4.72,4.84,4.52,4.6,4.24,4.041666667,4.4,0.92,0.88
999088,PCYNH,121,99,WI19,COGS,17,960455,Johnson,Christine M.,53,16,4.6875,4.677419355,4.5806451610000005,4.387096774,4.4193548389999995,3.935483871,3.967741935,4.40625,0.84375,0.870967742
999109,PCYNH,121,99,WI19,COGS,17,960456,Johnson,Christine M.,61,30,4.733333333,4.6875,4.625,4.25,4.5625,3.625,4.0,4.4117647060000005,0.9375,0.933333333
999130,PCYNH,121,99,WI19,COGS,17,960457,Johnson,Christine M.,54,23,4.739130435,4.733333333,4.7,4.666666667,4.6,4.133333333,4.4,4.344827586,0.933333333,0.9
999256,CSB  ,115,99,WI19,COGS,3,960421,Boyle,Mary E. T.,27,10,4.5,4.739130435,4.7826086960000005,4.565217391,4.652173913,3.913043478,4.045454545,3.956521739,0.956521739,0.956521739
999275,CSB  ,115,99,WI19,COGS,3,960422,Boyle,Mary E. T.,28,13,4.076923077,4.4,4.4,4.7,4.3,3.5,3.777777778,3.7,0.916666667,0.916666667
999296,CSB  ,115,99,WI19,COGS,3,960423,Boyle,Mary E. T.,29,12,4.5,4.222222222,4.055555556,4.055555556,3.4444444439999997,2.9444444439999997,3.166666667,3.388888889,0.894736842,0.8888888890000001
999315,CSB  ,115,99,WI19,COGS,3,960424,Boyle,Mary E. T.,27,13,4.538461538,4.461538462,4.285714286,4.3571428569999995,3.923076923,3.1538461539999996,3.333333333,3.866666667,1.0,0.857142857
999335,CSB  ,115,99,WI19,COGS,3,960425,Boyle,Mary E. T.,25,8,4.25,4.1363636360000005,4.19047619,4.318181818,4.0476190480000005,2.8636363639999995,3.1,3.5,0.791666667,0.913043478
999356,CSB  ,4,99,WI19,COGS,9,960427,Ellis,Shannon Elizabeth,57,20,4.4,4.2,4.0,4.25,3.9375,3.125,2.933333333,3.7058823530000002,0.8235294120000001,0.8235294120000001
999377,CSB  ,4,99,WI19,COGS,9,960428,Ellis,Shannon Elizabeth,53,23,4.434782609,4.117647058999999,4.2352941180000006,4.1875,4.117647058999999,3.176470588,3.4375,3.777777778,1.0,0.944444444
999398,CSB  ,5,99,WI19,COGS,9,960429,Ellis,Shannon Elizabeth,55,33,4.454545455,4.25,4.25,4.25,4.25,3.4375,3.666666667,4.0,1.0,0.9375
999419,CSB  ,5,99,WI19,COGS,9,960430,Ellis,Shannon Elizabeth,54,26,4.346153846,4.289473684,4.1052631580000005,4.3421052630000005,3.763157895,3.5,3.5405405410000004,3.684210526,0.7894736840000001,0.763157895
999440,CSB  ,4,99,WI19,COGS,9,960431,Ellis,Shannon Elizabeth,53,17,4.5882352939999995,4.3,4.2,4.525,4.05,3.825,3.8,4.12195122,0.76744186,0.790697674
999461,CSB  ,4,99,WI19,COGS,9,960432,Ellis,Shannon Elizabeth,54,30,4.566666667,4.243243243,3.973684211,4.351351351,3.842105263,3.552631579,3.710526316,3.894736842,0.763157895,0.7105263159999999
