,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,know_rating,prep_rating,audible_rating,expl_rating,attent_rating,note_rating,stimu_rating,rec_course_rating,rec_professor_rating
244404,PCYNH,121,88,FA17,COGS,11,913243,Boyle,Mary E. T.,59,32,4.8125,4.1363636360000005,4.05,3.571428571,3.904761905,3.652173913,3.8,4.208333333,0.916666667,0.791666667
244762,CSB  ,4,88,FA17,COGS,17,918098,Johnson,Christine M.,49,19,4.789473684,4.0,3.904761905,3.333333333,3.619047619,3.476190476,3.80952381,4.2380952380000005,0.8636363640000001,0.818181818
244783,CSB  ,4,88,FA17,COGS,17,918099,Johnson,Christine M.,53,13,4.384615385,4.052631579,4.2,3.5909090910000003,4.0,4.0476190480000005,4.2380952380000005,4.545454545,0.954545455,0.9090909090000001
244804,CENTR,222,88,FA17,COGS,17,918100,Johnson,Christine M.,54,20,4.55,4.181818182,4.0,3.666666667,4.043478261000001,3.851851852,4.083333333,4.379310345,0.8620689659999999,0.8275862070000001
244825,CENTR,222,88,FA17,COGS,17,918101,Johnson,Christine M.,59,21,4.666666667,4.727272727,4.727272727,4.818181818,4.6363636360000005,4.727272727,3.9090909089999997,4.454545455,1.0,1.0
244846,PCYNH,121,88,FA17,COGS,17,918102,Johnson,Christine M.,55,21,4.619047619,4.583333333,4.666666667,4.583333333,4.416666667,4.416666667,4.083333333,4.416666667,0.916666667,0.833333333
245056,CSB  ,115,88,FA17,COGS,3,918573,Bardolph,Megan Dalene,38,21,4.19047619,4.7647058819999994,4.5882352939999995,4.647058824,4.2352941180000006,4.058823529,3.9411764710000003,4.529411765,1.0,0.9411764709999999
245077,CSB  ,115,88,FA17,COGS,3,918574,Bardolph,Megan Dalene,37,21,4.380952381,4.666666667,4.571428571,4.619047619,4.333333333,4.0476190480000005,4.095238095,4.523809524,0.857142857,0.904761905
245098,CSB  ,115,88,FA17,COGS,3,918575,Bardolph,Megan Dalene,44,19,4.421052632,4.666666667,4.666666667,4.333333333,4.1111111110000005,3.666666667,3.777777778,4.222222222,0.666666667,0.7777777779999999
245119,CSB  ,115,88,FA17,COGS,3,918576,Bardolph,Megan Dalene,35,17,4.176470588,4.666666667,4.666666667,4.466666667,4.466666667,3.5333333330000003,3.333333333,4.533333333,0.8666666670000001,0.8666666670000001
245170,CSB  ,5,88,FA17,COGS,9,917997,Voytek,Bradley Thomas,55,20,4.65,4.5882352939999995,4.647058824,4.352941176,4.352941176,3.470588235,3.5625,4.294117647,0.764705882,0.882352941
245191,CSB  ,5,88,FA17,COGS,9,917998,Voytek,Bradley Thomas,55,21,4.523809524,4.434782609,4.173913043,4.608695652,4.173913043,4.2173913039999995,4.043478261000001,4.391304348,0.791666667,0.833333333
245212,CSB  ,5,88,FA17,COGS,9,917999,Voytek,Bradley Thomas,60,29,4.793103448,4.409090909,4.318181818,4.545454545,3.9090909089999997,3.8181818180000002,3.8636363639999995,4.318181818,0.791666667,0.791666667
245233,CENTR,218,88,FA17,COGS,9,928750,Voytek,Bradley Thomas,30,11,4.545454545,4.6,4.36,4.84,4.44,4.32,4.4,4.32,0.88,0.96
306164,PCYNH,121,98,FA18,COGS,1,945916,Boyle,Mary E. T.,61,48,4.333333333,4.038461538,4.12,4.285714286,4.125,3.75862069,3.785714286,4.379310345,0.75862069,0.793103448
306185,PCYNH,121,98,FA18,COGS,1,945917,Boyle,Mary E. T.,55,49,4.428571429,4.3571428569999995,4.0,4.125,3.666666667,3.666666667,3.214285714,4.25,0.5625,0.5625
306206,PCYNH,121,98,FA18,COGS,1,945918,Boyle,Mary E. T.,59,54,4.37037037,4.230769231,4.1428571430000005,4.076923077,4.0,3.692307692,3.923076923,4.0,0.857142857,0.857142857
306227,PCYNH,121,98,FA18,COGS,1,945919,Boyle,Mary E. T.,60,54,4.277777778,4.117647058999999,4.117647058999999,4.117647058999999,4.125,3.6470588239999997,3.7058823530000002,4.166666667,0.7222222220000001,0.944444444
306248,PCYNH,121,98,FA18,COGS,1,945920,Boyle,Mary E. T.,63,56,4.410714286,3.875,3.8125,3.8125,3.625,3.411764706,3.8,4.1111111110000005,0.833333333,0.833333333
306269,PCYNH,121,98,FA18,COGS,1,945921,Boyle,Mary E. T.,58,49,4.244897958999999,4.862068966,4.8275862069999995,4.7241379310000005,4.793103448,4.586206897,4.551724138,4.689655172,0.9655172409999999,0.9655172409999999
306290,PCYNH,121,98,FA18,COGS,1,945922,Boyle,Mary E. T.,56,50,4.48,4.4,4.0,4.2,3.5,3.7,3.6,4.2,0.9,0.8
306311,PCYNH,121,98,FA18,COGS,1,945923,Boyle,Mary E. T.,57,54,4.259259258999999,4.5,4.5,4.5,4.5,4.25,4.5,4.0,1.0,1.0
306437,CENTR,222,98,FA18,COGS,100,945971,Kirsh,David Joel,50,45,4.577777778,4.461538462,4.461538462,4.615384615,3.692307692,3.692307692,3.769230769,3.769230769,0.615384615,0.615384615
306458,CENTR,222,98,FA18,COGS,100,945972,Kirsh,David Joel,47,41,4.585365854,4.923076923,4.692307692,4.153846154,4.615384615,3.923076923,4.230769231,4.461538462,0.7692307690000001,0.692307692
306479,CENTR,222,98,FA18,COGS,100,945973,Kirsh,David Joel,42,37,4.378378378,4.263157895,4.263157895,4.277777778,3.894736842,3.105263158,3.315789474,4.1578947369999995,0.8,0.75
306815,MANDE,B-150,98,FA18,COGS,11,945937,Boyle,Mary E. T.,63,37,4.8378378380000004,4.1428571430000005,4.285714286,4.1428571430000005,4.0,3.142857143,3.714285714,4.0,0.7142857140000001,0.7142857140000001
306836,MANDE,B-150,98,FA18,COGS,11,945938,Boyle,Mary E. T.,58,32,4.6875,4.571428571,4.6428571430000005,4.6428571430000005,4.571428571,4.6428571430000005,4.428571429,4.785714286,1.0,1.0
306857,MANDE,B-150,98,FA18,COGS,11,945939,Boyle,Mary E. T.,61,29,4.7241379310000005,4.52173913,4.347826087,4.458333333,4.32,4.16,4.333333333,4.444444444,0.9642857140000001,1.0
307361,CENTR,222,98,FA18,COGS,17,945957,Johnson,Christine M.,48,24,4.375,4.586206897,4.620689655,4.5806451610000005,4.620689655,4.121212121,4.1290322580000005,4.294117647,0.9117647059999999,1.0
307382,CENTR,222,98,FA18,COGS,17,945958,Johnson,Christine M.,51,23,4.7826086960000005,4.5,4.428571429,4.466666667,4.3571428569999995,4.266666667,4.461538462,4.0625,0.9375,1.0
307403,CENTR,222,98,FA18,COGS,17,945959,Johnson,Christine M.,48,25,4.68,4.421052632,4.45,4.578947368,4.526315789,4.173913043,4.1363636360000005,4.307692308,0.7777777779999999,0.962962963
307424,CENTR,222,98,FA18,COGS,17,945960,Johnson,Christine M.,47,17,4.823529412,4.470588235,4.470588235,4.2352941180000006,4.294117647,3.882352941,3.411764706,4.058823529,0.9411764709999999,1.0
307445,CENTR,222,98,FA18,COGS,17,945961,Johnson,Christine M.,52,36,4.75,4.7,4.5,4.7,4.4,4.1,3.6,4.3,0.9,0.8
307466,CENTR,222,98,FA18,COGS,17,945962,Johnson,Christine M.,52,26,4.807692308,4.1,4.1,4.1,4.0,3.0,3.1,3.4,1.0,0.9090909090000001
307655,CSB  ,115,98,FA18,COGS,3,951724,Miller,Carson Grant,33,16,3.9375,4.25,4.25,4.1428571430000005,3.75,3.125,3.625,3.625,0.7777777779999999,0.5555555560000001
307676,CSB  ,115,98,FA18,COGS,3,951725,Miller,Carson Grant,35,20,4.15,4.615384615,4.615384615,4.846153846,4.384615385,4.0,3.8461538460000004,4.461538462,0.9285714290000001,0.7857142859999999
307697,CSB  ,115,98,FA18,COGS,3,951726,Miller,Carson Grant,31,21,4.095238095,4.714285714,4.714285714,4.8571428569999995,4.8571428569999995,4.428571429,4.428571429,5.0,1.0,0.857142857
307718,CSB  ,115,98,FA18,COGS,3,951727,Miller,Carson Grant,31,18,4.222222222,4.5,4.166666667,4.166666667,4.0,3.5,3.8181818180000002,3.833333333,0.7692307690000001,0.7692307690000001
307739,CSB  ,115,98,FA18,COGS,3,951728,Miller,Carson Grant,33,27,4.074074073999999,4.714285714,4.8571428569999995,4.571428571,4.428571429,3.857142857,4.428571429,4.285714286,0.857142857,0.857142857
307770,CENTR,222,98,FA18,COGS,9,945925,Voytek,Bradley Thomas,60,13,4.692307692,4.8571428569999995,5.0,4.8571428569999995,5.0,4.285714286,4.714285714,4.428571429,1.0,1.0
307791,PCYNH,121,98,FA18,COGS,9,945926,Voytek,Bradley Thomas,62,16,4.6875,4.25,4.0,4.75,4.25,4.25,4.25,4.5,0.75,0.75
307812,PCYNH,121,98,FA18,COGS,9,945927,Voytek,Bradley Thomas,65,19,4.578947368,4.875,4.875,4.875,4.875,4.5,4.5,4.625,1.0,1.0
307833,PCYNH,121,98,FA18,COGS,9,945928,Voytek,Bradley Thomas,63,22,4.454545455,4.772727273,4.590909091,4.909090909,4.5,4.272727273,3.545454545,4.545454545,1.0,1.0
307854,MANDE,B-150,98,FA18,COGS,9,945929,Voytek,Bradley Thomas,63,23,4.652173913,4.769230769,4.692307692,4.769230769,4.230769231,4.076923077,4.076923077,4.846153846,0.923076923,0.923076923
307875,CENTR,222,98,FA18,COGS,9,956095,Voytek,Bradley Thomas,46,24,4.708333333,4.529411765,4.529411765,4.5882352939999995,4.470588235,4.352941176,4.2352941180000006,4.647058824,0.8888888890000001,1.0
307896,PETER,103,98,FA18,COGS,9,956096,Voytek,Bradley Thomas,45,26,4.653846154,4.789473684,4.736842105,4.6315789469999995,4.6315789469999995,3.842105263,4.210526316,4.684210526,1.0,1.0
350904,SOLIS,111,2,S113,COGS,11,779396,Boyle,Mary E. T.,23,12,4.5,4.85,4.75,4.55,4.7,3.75,3.85,4.65,0.95,0.9
355661,CSB  ,3,18,S114,COGS,11,812410,Boyle,Mary E. T.,20,7,4.8571428569999995,4.6428571430000005,4.8571428569999995,4.6428571430000005,4.615384615,3.571428571,4.1428571430000005,4.6428571430000005,0.9285714290000001,0.857142857
361043,CSB  ,180,49,S115,COGS,11,842041,Boyle,Mary E. T.,16,4,4.25,4.6,4.6,4.6,4.222222222,4.4,3.8,4.6,1.0,1.0
361105,HSS  ,2152,49,S115,COGS,17,842045,Johnson,Christine M.,20,8,4.875,4.571428571,4.428571429,4.6428571430000005,4.296296296,4.037037037,3.4444444439999997,4.178571429,0.892857143,1.0
367348,CSB  ,180,72,S116,COGS,11,873147,Boyle,Mary E. T.,23,7,4.571428571,4.551724138,4.586206897,4.566666667,4.433333333,4.233333333,4.1,4.233333333,0.9,0.933333333
367390,CENTR,201,72,S116,COGS,17,873149,Johnson,Christine M.,25,9,4.8888888889999995,4.4,4.44,4.56,4.4,3.68,3.88,4.24,0.88,0.96
373448,MANDE,B-150,82,S117,COGS,11,909237,Boyle,Mary E. T.,51,45,4.822222222,4.428571429,4.476190476,4.523809524,4.476190476,4.1428571430000005,3.904761905,4.2380952380000005,0.904761905,1.0
373520,CSB  ,1,82,S117,COGS,17,909121,Johnson,Christine M.,53,15,4.533333333,4.655172414,4.6071428569999995,4.586206897,4.571428571,4.2758620689999995,4.285714286,4.655172414,1.0,1.0
380177,MANDE,B-150,91,S118,COGS,11,940427,Boyle,Mary E. T.,19,17,4.823529412,3.75,3.8620689660000003,4.1724137930000005,3.448275862,3.233333333,3.766666667,3.8965517239999996,0.833333333,0.566666667
380261,CSB  ,1,91,S118,COGS,17,940416,Johnson,Christine M.,46,22,4.818181818,4.058823529,4.125,4.125,3.6,3.2941176469999998,3.529411765,3.9444444439999997,0.7222222220000001,0.5555555560000001
385769,CENTR,205,6,S213,COGS,17,780151,Johnson,Christine M.,19,4,4.5,3.833333333,3.913043478,3.8181818180000002,3.380952381,3.217391304,3.333333333,3.875,0.8,0.64
385789,CSB  ,115,6,S213,COGS,3,780147,Boyle,Mary E. T.,24,5,4.0,3.958333333,3.916666667,3.958333333,3.708333333,3.333333333,3.5,4.208333333,0.875,0.708333333
389519,CENTR,205,19,S214,COGS,17,813007,Johnson,Christine M.,18,4,5.0,3.615384615,3.785714286,3.928571429,3.1538461539999996,3.066666667,3.266666667,3.928571429,0.8,0.6
412438,PCYNH,120,92,S218,COGS,3,941375,Boyle,Mary E. T.,36,10,4.1,3.791666667,3.833333333,4.0,3.8,3.384615385,3.625,3.807692308,0.7307692309999999,0.576923077
426580,CSB  ,5,7,SP13,COGS,1,772869,Yu,Angela J.,48,10,3.5,4.5,4.2,4.6,3.8,3.6,3.7,4.3,0.727272727,0.9090909090000001
426601,CSB  ,5,7,SP13,COGS,1,772870,Yu,Angela J.,47,9,3.5555555560000003,4.416666667,4.333333333,4.5,4.166666667,3.916666667,3.916666667,3.916666667,0.666666667,0.833333333
426622,CSB  ,4,7,SP13,COGS,1,772871,Yu,Angela J.,49,15,3.8,4.272727273,4.090909091,4.272727273,3.8181818180000002,4.0,4.090909091,4.0,0.818181818,1.0
426643,CSB  ,4,7,SP13,COGS,1,772872,Yu,Angela J.,52,8,3.5,4.714285714,4.742857143,4.285714286,4.6857142860000005,4.514285714,4.114285714,4.714285714,0.9722222220000001,0.944444444
426664,CSB  ,5,7,SP13,COGS,1,772873,Yu,Angela J.,27,6,3.333333333,4.72,4.76,4.68,4.68,4.08,4.32,4.32,0.7307692309999999,0.884615385
426685,CSB  ,5,7,SP13,COGS,1,772874,Yu,Angela J.,50,11,3.454545455,4.416666667,4.625,4.625,4.375,3.708333333,4.041666667,4.36,0.807692308,0.923076923
426853,SOLIS,111,7,SP13,COGS,11,772884,Boyle,Mary E. T.,39,9,4.777777778,4.882352941000001,4.941176471,4.882352941000001,4.8125,4.5882352939999995,4.6875,4.705882353,1.0,1.0
426874,SOLIS,111,7,SP13,COGS,11,772885,Boyle,Mary E. T.,20,6,4.333333333,4.6,4.466666667,4.6,4.6,4.4,4.066666667,4.375,0.882352941,0.9411764709999999
426895,SOLIS,111,7,SP13,COGS,11,772886,Boyle,Mary E. T.,35,15,4.866666667,4.65,4.5,4.619047619,4.3636363639999995,4.045454545,4.523809524,4.476190476,0.9090909090000001,0.954545455
426916,SOLIS,109,7,SP13,COGS,11,772887,Boyle,Mary E. T.,24,15,4.533333333,4.625,4.529411765,4.470588235,4.470588235,4.2352941180000006,4.1875,4.529411765,1.0,1.0
427047,CSB  ,4,7,SP13,COGS,17,772892,Johnson,Christine M.,45,12,4.5,4.375,4.434782609,4.458333333,4.333333333,4.208333333,4.208333333,4.375,0.958333333,1.0
427068,CSB  ,5,7,SP13,COGS,17,772893,Johnson,Christine M.,45,17,4.470588235,4.727272727,4.826086957,4.666666667,4.681818182,4.416666667,4.590909091,4.583333333,0.958333333,1.0
427089,CSB  ,5,7,SP13,COGS,17,772894,Johnson,Christine M.,41,12,4.5,4.5,4.523809524,4.5,4.428571429,4.272727273,4.333333333,4.409090909,0.913043478,1.0
427194,CSB  ,115,7,SP13,COGS,3,772877,Boyle,Mary E. T.,23,11,4.272727273,4.571428571,4.476190476,4.5,4.476190476,4.285714286,4.19047619,4.681818182,1.0,1.0
427215,CSB  ,115,7,SP13,COGS,3,772878,Boyle,Mary E. T.,20,5,3.8,4.25,4.0,4.3125,3.3125,3.5,3.25,3.8,0.75,0.8125
427235,CSB  ,115,7,SP13,COGS,3,772879,Boyle,Mary E. T.,19,5,2.0,4.2,4.0,4.6,3.8,4.2,3.6,4.6,1.0,1.0
427255,CSB  ,115,7,SP13,COGS,3,772880,Boyle,Mary E. T.,14,8,4.25,4.3571428569999995,4.214285714,4.428571429,3.357142857,3.571428571,3.571428571,4.1428571430000005,0.7857142859999999,0.571428571
462625,CENTR,222,13,SP14,COGS,1,808245,Amsel,Ben David,45,12,4.166666667,4.828571429,4.828571429,4.828571429,4.771428571,4.514285714,3.971428571,4.6,0.9722222220000001,0.9722222220000001
462646,CENTR,222,13,SP14,COGS,1,808246,Amsel,Ben David,45,15,4.2,4.916666667,4.833333333,4.75,4.416666667,3.833333333,3.833333333,4.25,0.916666667,1.0
462667,PETER,104,13,SP14,COGS,1,808247,Amsel,Ben David,35,13,3.769230769,4.583333333,4.333333333,4.166666667,4.25,3.3636363639999995,4.181818182,4.083333333,0.833333333,1.0
462688,PETER,102,13,SP14,COGS,1,808248,Amsel,Ben David,40,12,3.833333333,4.571428571,4.714285714,4.714285714,4.571428571,4.285714286,4.285714286,4.714285714,0.857142857,0.857142857
462709,CENTR,222,13,SP14,COGS,1,808249,Amsel,Ben David,11,5,3.8,4.8888888889999995,4.8888888889999995,4.666666667,4.8888888889999995,3.777777778,3.666666667,4.777777778,1.0,1.0
462730,PCYNH,121,13,SP14,COGS,1,808250,Amsel,Ben David,18,9,3.777777778,4.555555556,4.1111111110000005,4.125,4.285714286,3.125,3.375,4.333333333,0.8888888890000001,0.7777777779999999
462877,CSB  ,5,13,SP14,COGS,11,808260,Boroditsky,Lera,27,11,4.909090909,4.818181818,4.818181818,4.6363636360000005,4.6363636360000005,4.0,4.181818182,4.6363636360000005,0.818181818,0.9090909090000001
462898,PCYNH,120,13,SP14,COGS,11,808261,Boroditsky,Lera,15,10,4.6,4.571428571,4.571428571,4.558823529,4.371428571,4.171428571,3.7714285710000004,4.457142857,0.9714285709999999,0.942857143
462919,CSB  ,5,13,SP14,COGS,11,808262,Boroditsky,Lera,36,14,4.714285714,4.64516129,4.709677419,4.774193548,4.64516129,4.387096774,4.4193548389999995,4.483870968,0.935483871,1.0
463110,CSB  ,4,13,SP14,COGS,17,808267,Johnson,Christine M.,40,16,4.5625,4.625,4.625,4.6875,4.4375,4.25,4.0,4.28125,0.939393939,0.939393939
463131,CENTR,222,13,SP14,COGS,17,808268,Johnson,Christine M.,38,13,4.538461538,4.523809524,4.571428571,4.666666667,4.476190476,4.095238095,4.0476190480000005,4.285714286,0.904761905,0.9523809520000001
463152,CSB  ,4,13,SP14,COGS,17,808269,Johnson,Christine M.,29,10,4.6,4.428571429,4.619047619,4.619047619,4.476190476,4.1428571430000005,4.15,4.476190476,0.857142857,0.904761905
463277,CSB  ,115,13,SP14,COGS,3,808253,Boyle,Mary E. T.,24,5,3.4,4.677419355,4.7,4.741935484,4.483870968,4.4193548389999995,4.451612903,4.322580645,1.0,0.967741935
463297,CSB  ,115,13,SP14,COGS,3,808255,Boyle,Mary E. T.,11,5,3.8,4.789473684,4.684210526,4.421052632,4.473684211,4.052631579,4.1052631580000005,4.578947368,0.894736842,0.894736842
501721,CSB  ,2,48,SP15,COGS,1,837078,Barrera,Steven James,54,14,4.571428571,4.75,4.791666667,4.708333333,4.625,4.333333333,4.291666667,4.708333333,0.958333333,0.958333333
501742,CSB  ,2,48,SP15,COGS,1,837079,Barrera,Steven James,62,23,4.52173913,4.807692308,4.807692308,4.461538462,4.576923077,4.038461538,4.384615385,4.692307692,1.0,1.0
501763,CENTR,222,48,SP15,COGS,1,837080,Barrera,Steven James,61,29,4.586206897,4.583333333,4.375,4.533333333,4.241666667,3.9915254239999998,3.330508475,4.258333333,0.8833333329999999,0.966386555
501784,CENTR,222,48,SP15,COGS,1,837081,Barrera,Steven James,50,14,4.5,4.882352941000001,4.470588235,4.647058824,4.5882352939999995,4.529411765,4.058823529,4.823529412,1.0,0.9411764709999999
501805,PETER,103,48,SP15,COGS,1,837082,Barrera,Steven James,62,19,4.421052632,4.0869565219999995,4.125,4.304347826,4.0869565219999995,3.6086956519999998,3.5652173910000005,4.2173913039999995,0.791666667,0.41666666700000005
502015,SOLIS,109,48,SP15,COGS,11,837090,Boyle,Mary E. T.,28,8,4.25,4.041666667,4.291666667,4.25,3.583333333,3.5,3.333333333,4.208333333,0.833333333,0.666666667
502036,SOLIS,109,48,SP15,COGS,11,837091,Boyle,Mary E. T.,36,13,4.615384615,4.227272727,4.227272727,4.272727273,3.772727273,3.3636363639999995,3.6818181819999998,4.227272727,0.954545455,0.636363636
502057,SOLIS,109,48,SP15,COGS,11,837092,Boyle,Mary E. T.,18,7,4.714285714,4.090909091,4.045454545,4.318181818,3.727272727,3.454545455,3.5909090910000003,4.227272727,0.772727273,0.5
502286,WLH  ,2208,48,SP15,COGS,17,837103,Johnson,Christine M.,25,12,4.5,4.227272727,4.227272727,4.181818182,3.6363636360000005,3.272727273,3.3181818180000002,4.1363636360000005,0.9090909090000001,0.636363636
502307,SOLIS,109,48,SP15,COGS,17,837104,Johnson,Christine M.,16,7,4.714285714,4.227272727,4.454545455,4.590909091,3.8636363639999995,3.5909090910000003,3.6818181819999998,3.954545455,0.954545455,0.636363636
502327,WLH  ,2206,48,SP15,COGS,17,837105,Johnson,Christine M.,27,7,4.8571428569999995,4.6363636360000005,4.25,4.416666667,4.0,4.25,3.833333333,3.916666667,1.0,0.7692307690000001
502369,CSB  ,115,48,SP15,COGS,3,837084,Voytek,Bradley Thomas,32,17,4.470588235,4.25,4.5,4.625,4.25,4.375,3.75,4.25,0.75,0.875
502390,CSB  ,115,48,SP15,COGS,3,837085,Voytek,Bradley Thomas,28,10,4.7,4.5,4.125,4.375,3.5,3.75,3.0,4.375,1.0,0.875
502410,CSB  ,115,48,SP15,COGS,3,837086,Voytek,Bradley Thomas,31,10,4.1,4.692307692,4.711538462,4.519230769,4.5,4.269230769,3.865384615,4.557692308,0.9807692309999999,1.0
547042,CENTR,222,71,SP16,COGS,1,868912,Barrera,Steven James,53,20,4.65,4.608695652,4.608695652,4.434782609,4.52173913,3.913043478,4.0869565219999995,4.2173913039999995,0.913043478,0.956521739
547063,CENTR,222,71,SP16,COGS,1,868914,Barrera,Steven James,56,16,4.625,4.684210526,4.6315789469999995,4.684210526,4.6315789469999995,4.222222222,4.277777778,4.722222222,1.0,0.947368421
547084,MANDE,B-150,71,SP16,COGS,1,868957,Barrera,Steven James,63,24,4.375,4.5,4.1875,4.375,4.1875,3.625,3.8125,4.266666667,0.75,0.8125
547105,PCYNH,121,71,SP16,COGS,1,868958,Barrera,Steven James,60,22,4.727272727,4.08,3.12,3.84,3.04,3.08,2.833333333,3.76,0.44,0.6
547126,CENTR,222,71,SP16,COGS,1,868959,Barrera,Steven James,53,22,4.5,4.75,4.777777778,4.814814815,4.62962963,4.481481481,4.074074073999999,4.481481481,0.962962963,0.962962963
547147,CENTR,222,71,SP16,COGS,1,868960,Barrera,Steven James,63,21,4.571428571,4.730769231,4.769230769,4.692307692,4.576923077,4.346153846,4.5,4.5,0.8888888890000001,0.962962963
547766,MANDE,B-104,71,SP16,COGS,17,868976,Johnson,Christine M.,30,12,4.916666667,4.666666667,4.666666667,4.833333333,4.5,4.5,4.333333333,4.833333333,1.0,1.0
547787,WLH  ,2206,71,SP16,COGS,17,868977,Johnson,Christine M.,35,12,4.583333333,4.166666667,3.5555555560000003,4.166666667,3.5555555560000003,2.388888889,2.5,3.666666667,0.5,0.5
547808,SEQUO,147,71,SP16,COGS,17,874906,Johnson,Christine M.,20,9,4.555555556,4.5625,4.647058824,4.647058824,4.4375,3.823529412,4.2,4.555555556,1.0,1.0
547829,SEQUO,147,71,SP16,COGS,17,874907,Johnson,Christine M.,32,11,4.818181818,4.483870968,4.433333333,4.566666667,4.466666667,4.193548387,4.258064516,4.516129032,1.0,0.967741935
547892,CSB  ,115,71,SP16,COGS,3,868962,Boyle,Mary E. T.,32,16,4.25,4.526315789,4.6315789469999995,4.555555556,4.6315789469999995,4.526315789,4.315789474,4.6315789469999995,1.0,1.0
547913,CSB  ,115,71,SP16,COGS,3,868963,Boyle,Mary E. T.,23,5,4.2,4.619047619,4.619047619,4.571428571,4.523809524,4.1428571430000005,4.428571429,4.571428571,1.0,1.0
547933,CSB  ,115,71,SP16,COGS,3,868964,Boyle,Mary E. T.,26,14,4.3571428569999995,4.5,4.5,4.464285714,4.428571429,4.222222222,4.285714286,4.214285714,0.892857143,0.9285714290000001
547974,CENTR,214,71,SP16,COGS,9,868965,Voytek,Bradley Thomas,99,35,4.828571429,4.6,4.5625,4.5625,4.533333333,4.3125,4.5,4.4375,1.0,1.0
596985,PCYNH,121,81,SP17,COGS,1,901252,Barrera,Steven James,58,16,4.5625,4.64,4.625,4.791666667,4.652173913,4.28,4.416666667,4.423076923,0.884615385,1.0
597006,PCYNH,121,81,SP17,COGS,1,901253,Barrera,Steven James,63,31,4.483870968,4.076923077,3.692307692,4.538461538,3.0,3.1538461539999996,3.538461538,3.461538462,0.692307692,0.538461538
597027,PCYNH,121,81,SP17,COGS,1,901254,Barrera,Steven James,56,19,4.526315789,3.545454545,3.3636363639999995,4.272727273,2.9090909089999997,3.272727273,2.8181818180000002,4.090909091,0.9090909090000001,0.727272727
597048,PCYNH,121,81,SP17,COGS,1,901255,Barrera,Steven James,63,21,4.619047619,3.5,3.25,3.875,3.125,2.5714285709999998,3.0,3.428571429,0.875,0.5
597069,PCYNH,121,81,SP17,COGS,1,901256,Barrera,Steven James,60,28,4.5,4.470588235,4.4375,4.117647058999999,4.058823529,3.764705882,4.2352941180000006,4.352941176,0.764705882,0.647058824
597090,PCYNH,121,81,SP17,COGS,1,901257,Barrera,Steven James,63,15,4.6,4.666666667,4.6111111110000005,4.444444444,4.3888888889999995,4.0,4.277777778,4.555555556,0.7777777779999999,0.833333333
597111,CSB  ,5,81,SP17,COGS,1,901258,Barrera,Steven James,61,25,4.64,4.6428571430000005,4.3571428569999995,4.3571428569999995,4.285714286,3.785714286,4.071428571,4.214285714,0.857142857,0.7857142859999999
597657,CSB  ,4,81,SP17,COGS,108,901330,Voytek,Bradley Thomas,55,6,4.333333333,4.6315789469999995,4.578947368,4.210526316,4.210526316,3.526315789,4.052631579,4.210526316,0.684210526,0.7894736840000001
597676,CSB  ,4,81,SP17,COGS,108,901331,Voytek,Bradley Thomas,60,11,4.454545455,4.333333333,4.333333333,4.5,3.666666667,3.5,3.333333333,4.166666667,0.833333333,1.0
597697,CSB  ,4,81,SP17,COGS,108,901332,Voytek,Bradley Thomas,58,19,4.6315789469999995,4.454545455,4.454545455,4.3636363639999995,4.272727273,3.8181818180000002,3.6,3.75,0.846153846,0.923076923
597718,CSB  ,4,81,SP17,COGS,108,901333,Voytek,Bradley Thomas,60,16,4.25,4.6315789469999995,4.473684211,4.6315789469999995,4.3684210530000005,3.789473684,3.684210526,4.052631579,0.947368421,1.0
597739,CSB  ,4,81,SP17,COGS,108,901334,Voytek,Bradley Thomas,56,17,4.470588235,4.25,4.294117647,4.4375,4.125,3.470588235,3.4375,3.888888889,0.833333333,0.944444444
597760,CSB  ,4,81,SP17,COGS,108,901335,Voytek,Bradley Thomas,59,13,4.538461538,4.470588235,4.294117647,4.470588235,3.882352941,3.764705882,3.866666667,4.117647058999999,0.833333333,0.944444444
597781,CENTR,222,81,SP17,COGS,108,901336,Voytek,Bradley Thomas,53,18,4.5,4.538461538,4.307692308,4.769230769,3.923076923,3.8461538460000004,3.0,4.153846154,0.846153846,0.846153846
598303,WLH  ,2207,81,SP17,COGS,17,901283,Johnson,Christine M.,46,17,4.470588235,4.5,4.444444444,4.666666667,4.222222222,3.9444444439999997,3.5,4.1111111110000005,0.8888888890000001,0.944444444
598324,WLH  ,2207,81,SP17,COGS,17,901284,Johnson,Christine M.,45,18,4.666666667,3.826086957,4.0,4.0,3.52173913,3.3913043480000002,3.4347826089999995,3.954545455,0.7826086959999999,0.52173913
598345,WLH  ,2207,81,SP17,COGS,17,901285,Johnson,Christine M.,48,14,4.6428571430000005,4.5,4.576923077,4.576923077,4.538461538,3.961538462,4.28,4.423076923,0.923076923,0.961538462
598366,WLH  ,2207,81,SP17,COGS,17,901286,Johnson,Christine M.,52,19,4.6315789469999995,4.625,4.5,4.375,4.375,3.6875,3.9375,4.1875,1.0,0.875
598449,CSB  ,115,81,SP17,COGS,3,901260,Boyle,Mary E. T.,36,13,4.076923077,4.45,4.5,4.65,4.421052632,4.25,4.2,4.25,1.0,1.0
